am:'alaf_erac_hum # 'fr|A;አላፈ፟ራች፟ሁም
## ;prf,2pf,0o,neg,rel
ti:zeyHeferkn # Hfr|A;ዘይሐፈርክን
te:le'iHeferkn # Hfr|A;ለኢሐፈርክን
ks:yaleferkma # hfr|A;ያለፈርክማ
am:yalaf_erac_hu # 'fr|A;ያላፈ፟ራች፟ሁ
## ;prf,2pf,0o,aff,main
ti:Haferkn # Hfr|A;ሓፈርክን
te:Heferkn # Hfr|A;ሐፈርክን
ks:'af_erkman # hfr|A;አፈ፟ርክማን
am:'af_erac_hu # 'fr|A;አፈ፟ራች፟ሁ
## ;prf,2pf,0o,aff,rel
ti:zHeferkn # Hfr|A;ዝሐፈርክን
te:leHeferkn # Hfr|A;ለሐፈርክን
ks:yaf_erkma # hfr|A;ያፈ፟ርክማ
am:yaf_erac_hu # 'fr|A;ያፈ፟ራች፟ሁ
## ;imf,1s,0o,neg,main
ti:'ayHef_rn # Hfr|A;ኣይሐፍ፟ርን
te:'iHef_r # Hfr|A;ኢሐፍ፟ር
ks:tafr # hfr|A;ታፍር
am:'alafrm # 'fr|A;አላፍርም
## ;imf,1s,0o,neg,rel
ti:zeyHef_r # Hfr|A;ዘይሐፍ፟ር
