ተቐበለ;qb_l:[as=smp,vc=ps];;greet_v;welcome_v;accept_v;agree_v;receive_v
ተቓለሰ;qals:[as=smp,vc=ps];;fight_v;struggle_v
ተቓረነ;qr_n:[as=rc,vc=ps];;contradict_v
ተቓወመ;qwm:[as=rc,vc=ps];;resist_v
ተቓጸለ;qS_l:[as=rc,vc=ps];;blaze_v
ተቖጻጸረ;qWSr:[as=it,vc=ps];;dominate_v
ተበራበረ;brabr:[as=smp,vc=ps];;revive_v;wake_v up
ተባርዐ;bar`:[as=smp,vc=ps];;blow_v up;explode_v
ተተምነየ;tmny:[as=smp,vc=ps];;wish_v for
ተተስፈየ;tsfy:[as=smp,vc=ps];;hope_v for
ተተንበየ;tnby:[as=smp,vc=ps];;foresee_v
ተናጎጸ;ngWS:[as=rc,vc=ps];;clash_v
ተናጠረ;nTr:[as=rc,vc=ps];;cross_v
ተንሰአ;tns':[as=smp,vc=smp];;get_v up
ተንሳፈፈ;n|saff:[as=smp,vc=ps];;float_v
ተንቀሳቐሰ;n|qsaqs:[as=smp,vc=ps];;move_v;circulate_v
ተንከፈ;tnkf:[as=smp,vc=smp];;touch_v
ተኣመነ;'mn:[as=smp,vc=ps];;admit_v;confess_v
ተኣነነ;'n_n:[as=smp,vc=ps];;groan_v
ተኣከበ;'k_b:[as=smp,vc=ps];;meet_v
ተኣዘዘ;'z_z:[as=smp,vc=ps];;obey_v
ተክአ;tk_':[as=smp,vc=smp];;replace_v
ተኸለ;tkl:[as=smp,vc=smp];;plant_v;erect_v;put_v up
ተኸላኸለ;klkl:[as=rc,vc=ps];;defend_v;protect_v
ተኸተለ;kt_l:[as=smp,vc=ps];;follow_v;take_v
ተኸታተለ;kt_l:[as=it,vc=ps];;succeed_v
ተኸናኸነ;knakn:[as=smp,vc=ps];;look_v after;take_v care of
ተኹተኸ;tkWtk:[as=smp,vc=smp];;provoke_v
ተኻረየ;kry:[as=rc,vc=ps];;rent_v
ተኻተዐ;kt`:[as=rc,vc=ps];;discuss_v;debate_v
ተኾርነፈ;kWrnf:[as=smp,vc=ps];;give_v the cold shoulder
ተወለደ;wld:[as=smp,vc=ps];;be_v born;bear_v[ps]
ተወንጨፈ;wnCf:[as=smp,vc=ps];;throw_v oneself;rush_v
ተወጠሐ;wT_H:[as=smp,vc=ps];;perch_v
ተዋሕሰ;wHs:[as=smp,vc=ps];;guarantee_v
ተዋነየ;wany:[as=smp,vc=ps];;represent_v;perform_v
ተዋግአ;wg':[as=rc,vc=ps];;fight_v
ተዓወተ;`w_t:[as=smp,vc=ps];;win_v;make_v a success
ተዓዘበ;`z_b:[as=smp,vc=ps];;keep_v watch over;watch_v;supervise_v;observe_v
ተዘርገሐ;zrgH:[as=smp,vc=ps];;take_v place
ተዘናገዐ;zng`:[as=rc,vc=ps];;have_v a good time;have_v fun
ተዛረበ;zrb:[as=rc,vc=ps];;express_v;speak_v;talk_v
ተዛወረ;zwr:[as=rc,vc=ps];;walk_v;go_v for a walk
ተደረረ;dr_r:[as=smp,vc=ps];;dine_v
ተደርገመ;drgm:[as=smp,vc=ps];;plunge_v;burst_v
ደርገመ;drgm:[as=smp,vc=smp];;plunge_v;burst_v
ተደገፈ;dg_f:[as=smp,vc=ps];;lean_v on
ደገፈ;dg_f:[as=smp,vc=smp];;support_v;help_v
ተገረመ;gr_m:[as=smp,vc=ps];;be_v astonished;astonish_v[ps];be_v surprised;surprise_v[ps]
ገረመ;gr_m:[as=smp,vc=smp];;astonish_v;surprise_v
ተገበአ;gb_':[as=smp,vc=ps];;deserve_v
ተጎልበበ;gWlbb:[as=smp,vc=ps];;be_v covered;cover_v[ps];cover_v oneself up
ጐልበበ;gWlbb:[as=smp,vc=smp];;cover_v
ተጎድአ;gWd':[as=smp,vc=ps];;injure_v oneself;hurt_v oneself
ጐድአ;gWd':[as=smp,vc=smp];;hurt_v;pound_v;harm_v
ተጓዕዘ;gW`z:[as=smp,vc=ps];;travel_v through
ተጠራጠረ;TrTr:[as=rc,vc=ps];;doubt_v;hesitate_v
ተጠቐመ;Tqm:[as=smp,vc=ps];;use_v
ጠቐመ;Tqm:[as=smp,vc=smp];;be_v useful;be_v advantageous
ተጣረዐ;Tr`:[as=rc,vc=ps];;be_v afraid;panic_v;lose_v courage
ጠርዐ;Tr`:[as=smp,vc=smp];;complain_v;protest_v
ተጣዓሰ;T`s:[as=rc,vc=ps];;repent_v;be_v sorry
ተጨነቐ;Cn_q:[as=smp,vc=ps];;worry_v
ተጸበየ;Sb_y:[as=smp,vc=ps];;expect_v;wait_v
ተጻረረ;Srr:[as=rc,vc=ps];;oppose_v
ተጻወረ;Swr:[as=rc,vc=ps];;support_v;sustain_v;withstand_v;resist_v
ተጻወተ;Swt:[as=rc,vc=ps];;play_v
